
---------- Begin Simulation Statistics ----------
final_tick                                 1832173980                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                 252603                       # Simulator instruction rate (inst/s)
host_mem_usage                                 653556                       # Number of bytes of host memory used
host_op_rate                                   451041                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                    32.08                       # Real time elapsed on the host
host_tick_rate                               57107718                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                     8104173                       # Number of instructions simulated
sim_ops                                      14470629                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.001832                       # Number of seconds simulated
sim_ticks                                  1832173980                       # Number of ticks simulated
system.cpu.cc_regfile_reads                   1486326                       # number of cc regfile reads
system.cpu.cc_regfile_writes                  1779129                       # number of cc regfile writes
system.cpu.committedInsts                     8104173                       # Number of Instructions Simulated
system.cpu.committedOps                      14470629                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               0.496875                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         0.496875                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                  13370857                       # number of floating regfile reads
system.cpu.fp_regfile_writes                 11863811                       # number of floating regfile writes
system.cpu.idleCycles                           41699                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts                  987                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                   297483                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     3.599378                       # Inst execution rate
system.cpu.iew.exec_refs                      2770166                       # number of memory reference insts executed
system.cpu.iew.exec_stores                     133170                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                    8010                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts               2625538                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                  1                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts                96                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts               133591                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts            14487628                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts               2636996                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts              2569                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              14493822                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                   1009                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                 17146                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                    907                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                 18238                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents              9                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect          660                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect            327                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                   9893515                       # num instructions consuming a value
system.cpu.iew.wb_count                      14480139                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.681621                       # average fanout of values written-back
system.cpu.iew.wb_producers                   6743625                       # num instructions producing a value
system.cpu.iew.wb_rate                       3.595980                       # insts written-back per cycle
system.cpu.iew.wb_sent                       14480558                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                  8125471                       # number of integer regfile reads
system.cpu.int_regfile_writes                 2152373                       # number of integer regfile writes
system.cpu.ipc                               2.012581                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         2.012581                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass              1012      0.01%      0.01% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu               2546623     17.57%     17.57% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                    5      0.00%     17.57% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                    21      0.00%     17.57% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd             4720917     32.57%     50.14% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     50.14% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                   0      0.00%     50.14% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     50.14% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     50.14% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     50.14% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     50.14% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     50.14% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                    0      0.00%     50.14% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     50.14% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                  157      0.00%     50.14% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                    0      0.00%     50.14% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                   47      0.00%     50.14% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc              262366      1.81%     51.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     51.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     51.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                  0      0.00%     51.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     51.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     51.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     51.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd         2097152     14.47%     66.42% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     66.42% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     66.42% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               0      0.00%     66.42% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     66.42% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     66.42% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult        2097152     14.47%     80.89% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     80.89% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     80.89% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     80.89% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     80.89% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     80.89% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     80.89% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     80.89% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     80.89% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     80.89% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     80.89% # Type of FU issued
