
---------- Begin Simulation Statistics ----------
final_tick                                  393046045                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                 203882                       # Simulator instruction rate (inst/s)
host_mem_usage                                 654868                       # Number of bytes of host memory used
host_op_rate                                   340679                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                     5.82                       # Real time elapsed on the host
host_tick_rate                               67487558                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                     1187371                       # Number of instructions simulated
sim_ops                                       1984103                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.000393                       # Number of seconds simulated
sim_ticks                                   393046045                       # Number of ticks simulated
system.cpu.cc_regfile_reads                   1359311                       # number of cc regfile reads
system.cpu.cc_regfile_writes                   937178                       # number of cc regfile writes
system.cpu.committedInsts                     1187371                       # Number of Instructions Simulated
system.cpu.committedOps                       1984103                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               0.655490                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         0.655490                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                     25035                       # number of floating regfile reads
system.cpu.fp_regfile_writes                    25006                       # number of floating regfile writes
system.cpu.idleCycles                           37414                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts                17701                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                   275531                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     2.987995                       # Inst execution rate
system.cpu.iew.exec_refs                       353537                       # number of memory reference insts executed
system.cpu.iew.exec_stores                     149196                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                   75072                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts                212538                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                  1                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts              2489                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts               160543                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts             2447990                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts                204341                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts             46401                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts               2325586                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                    618                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                  1401                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                  16840                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                  2109                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents             19                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect        10101                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect           7600                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                   2408322                       # num instructions consuming a value
system.cpu.iew.wb_count                       2309664                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.676919                       # average fanout of values written-back
system.cpu.iew.wb_producers                   1630239                       # num instructions producing a value
system.cpu.iew.wb_rate                       2.967537                       # insts written-back per cycle
system.cpu.iew.wb_sent                        2313729                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                  3324514                       # number of integer regfile reads
system.cpu.int_regfile_writes                 1846586                       # number of integer regfile writes
system.cpu.ipc                               1.525576                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         1.525576                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass             15580      0.66%      0.66% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu               1994074     84.07%     84.72% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                    5      0.00%     84.72% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                    21      0.00%     84.73% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd                 136      0.01%     84.73% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     84.73% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                   0      0.00%     84.73% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     84.73% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     84.73% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     84.73% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     84.73% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     84.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                    0      0.00%     84.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     84.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                  154      0.01%     84.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                    0      0.00%     84.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                   48      0.00%     84.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc                 218      0.01%     84.75% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     84.75% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     84.75% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                  0      0.00%     84.75% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     84.75% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     84.75% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     84.75% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               0      0.00%     84.75% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     84.75% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     84.75% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               0      0.00%     84.75% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     84.75% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     84.75% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult              0      0.00%     84.75% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     84.75% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     84.75% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     84.75% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     84.75% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     84.75% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     84.75% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     84.75% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     84.75% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     84.75% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     84.75% # Type of FU issued
